tag,hostname,category,location,rack,uPosition,status,purchaseCost,purchaseDate,salvageValue,usefulLifeYears
AST-BTM-CCTV-012,"TV SHARP 60""",CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-013,PC CLIENT,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-014,UPS,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-015,NVR 1 16 Chanel,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-016,NVR 2 16 Chanel,CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-017,"TV SHARP 60""",CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-CCTV-018,"TV SHARP 60""",CCTV Camera,neuCentrIX Batam,R. NOC,-,Active,,2022-01-01,,10
AST-BTM-PAC-005,PAC 1,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-PAC-006,PAC 2,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-PAC-007,PAC 3,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-PAC-008,PAC 4,Cooling PAC,neuCentrIX Batam,IT Hall,-,Active,,2022-01-01,,10
AST-BTM-ACS-143,AC Standing 1,AC Split,neuCentrIX Batam,Utility 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-144,AC Standing 2,AC Split,neuCentrIX Batam,Utility 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-145,AC Standing 3,AC Split,neuCentrIX Batam,Batrrey 2,-,Active,,2023-01-01,,10
AST-BTM-ACS-146,AC Standing 4,AC Split,neuCentrIX Batam,Batrrey 2,-,Active,,2023-01-01,,10
AST-BTM-ACS-147,AC Standing 5,AC Split,neuCentrIX Batam,Koridor lt4,-,Active,,2023-01-01,,10
AST-BTM-ACS-148,AC Standing 6,AC Split,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-149,AC Standing 7,AC Split,neuCentrIX Batam,MMR 2,-,Active,,2023-01-01,,10
AST-BTM-ACS-150,AC Split 1,AC Split,neuCentrIX Batam,AC Split Utility 1,-,Active,,2023-01-01,,10
AST-BTM-ACS-151,AC Split 2,AC Split,neuCentrIX Batam,AC Split Utility 2,-,Active,,2023-01-01,,10
AST-BTM-NET-003,Spine-1,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-004,Spine-2,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-005,Leaf-1,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-006,Leaf-2,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-007,Leaf-3,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-008,Leaf-4,NETWORK Lantai 3,neuCentrIX Batam,MMR,-,Active,,2023-01-01,,10
AST-BTM-NET-009,Spine-1,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-010,Spine-2,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-011,Leaf-1,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-012,Leaf-2,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
AST-BTM-NET-013,Leaf-3,NETWORK Lantai 4,neuCentrIX Batam,MMR 1,-,Active,,2023-01-01,,10
